heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
60,pid,extra_trees,plus_score,9036.0,,,
60,pid,extra_trees,score_residualized,9036.0,,,
60,pid,extra_trees,shuffled_score_control,9036.0,,,
60,energy,traditional,no_score,9036.0,,,
60,energy,traditional,plus_score,9036.0,,,
60,energy,traditional,score_residualized,9036.0,,,
60,energy,traditional,shuffled_score_control,9036.0,,,
60,energy,ridge,no_score,9036.0,,,
60,energy,ridge,plus_score,9036.0,,,
60,energy,ridge,score_residualized,9036.0,,,
60,energy,ridge,shuffled_score_control,9036.0,,,
60,energy,gradient_boosted_trees,no_score,9036.0,,,
60,energy,gradient_boosted_trees,plus_score,9036.0,,,
60,energy,gradient_boosted_trees,score_residualized,9036.0,,,
60,energy,gradient_boosted_trees,shuffled_score_control,9036.0,,,
60,energy,extra_trees,no_score,9036.0,,,
60,energy,extra_trees,plus_score,9036.0,,,
60,energy,extra_trees,score_residualized,9036.0,,,
60,energy,extra_trees,shuffled_score_control,9036.0,,,
61,timing,traditional,no_score,8661.0,,,
61,timing,traditional,plus_score,8661.0,,,
61,timing,traditional,score_residualized,8661.0,,,
61,timing,traditional,shuffled_score_control,8661.0,,,
61,timing,ridge,no_score,8661.0,,,
61,timing,ridge,plus_score,8661.0,,,
61,timing,ridge,score_residualized,8661.0,,,
61,timing,ridge,shuffled_score_control,8661.0,,,
61,timing,gradient_boosted_trees,no_score,8661.0,,,
61,timing,gradient_boosted_trees,plus_score,8661.0,,,
61,timing,gradient_boosted_trees,score_residualized,8661.0,,,
61,timing,gradient_boosted_trees,shuffled_score_control,8661.0,,,
61,timing,extra_trees,no_score,8661.0,,,
61,timing,extra_trees,plus_score,8661.0,,,
61,timing,extra_trees,score_residualized,8661.0,,,
61,timing,extra_trees,shuffled_score_control,8661.0,,,
61,timing,mlp,no_score,8661.0,,,
61,timing,mlp,plus_score,8661.0,,,
61,timing,mlp,score_residualized,8661.0,,,
61,timing,mlp,shuffled_score_control,8661.0,,,
61,timing,cnn1d,no_score,,5.0,1.1235753971164506,3.772746633359426
61,timing,cnn1d,plus_score,,5.0,1.1235753971164506,3.772746633359426
61,timing,cnn1d,score_residualized,,5.0,1.1235753971164506,3.772746633359426
61,timing,cnn1d,shuffled_score_control,,5.0,1.1235753971164506,3.772746633359426
