heldout_family,method,shuffle_rep,value
sample_ii_calib,ML residual masked-denoising AE-6,2,0.2802793885081708
sample_ii_calib,ML residual masked-denoising AE-6,3,0.279487348444913
sample_ii_calib,ML residual masked-denoising AE-6,4,0.25359251449657355
sample_ii_calib,ML residual masked-denoising AE-6,5,0.2566578808645229
sample_ii_calib,ML residual masked-denoising AE-6,6,0.1767791249341065
sample_ii_calib,ML residual masked-denoising AE-6,7,0.25132709541381126
sample_ii_calib,ML residual masked-denoising AE-6,8,0.21528465998945703
sample_ii_calib,ML residual masked-denoising AE-6,9,0.24163020558777015
sample_ii_calib,ML residual masked-denoising AE-6,10,0.28091591987348447
sample_ii_calib,ML residual masked-denoising AE-6,11,0.2511228255139694
sample_ii_calib,ML residual masked-denoising AE-6,12,0.2840695835529784
sample_ii_calib,ML residual masked-denoising AE-6,13,0.20680416447021613
sample_ii_calib,ML residual masked-denoising AE-6,14,0.2281510279388508
sample_ii_calib,ML residual masked-denoising AE-6,15,0.22288350026357406
sample_ii_calib,ML residual masked-denoising AE-6,16,0.2431813389562467
sample_ii_calib,ML residual masked-denoising AE-6,17,0.35996441750131786
sample_ii_calib,ML residual masked-denoising AE-6,18,0.2014167105956774
sample_ii_calib,ML residual masked-denoising AE-6,19,0.2143054823405377
sample_ii_calib,ML residual masked-denoising AE-6,20,0.2829124934106484
sample_ii_calib,ML residual masked-denoising AE-6,21,0.2506378492356352
sample_ii_calib,ML residual masked-denoising AE-6,22,0.25462836056932
sample_ii_calib,ML residual masked-denoising AE-6,23,0.2220374275171323
sample_ii_calib,ML residual masked-denoising AE-6,24,0.2534739061676331
sample_ii_calib,ML residual masked-denoising AE-6,25,0.28124406958355297
sample_ii_calib,ML residual masked-denoising AE-6,26,0.2567171850289931
sample_ii_calib,ML residual masked-denoising AE-6,27,0.2528835002635741
sample_ii_calib,ML residual masked-denoising AE-6,28,0.30550079072219294
sample_ii_calib,ML residual masked-denoising AE-6,29,0.2499934106483922
sample_ii_calib,ML residual masked-denoising AE-6,30,0.23544148655772273
sample_ii_calib,ML residual masked-denoising AE-6,31,0.28051792303637324
sample_ii_calib,ML residual masked-denoising AE-6,32,0.30502503953610965
sample_ii_calib,ML residual masked-denoising AE-6,33,0.2946916183447549
sample_ii_calib,ML residual masked-denoising AE-6,34,0.24097258829731152
sample_ii_calib,ML residual masked-denoising AE-6,35,0.23320901423299945
sample_ii_calib,ML residual masked-denoising AE-6,36,0.23521876647337903
sample_ii_calib,ML residual masked-denoising AE-6,37,0.22254217185028993
sample_ii_calib,ML residual masked-denoising AE-6,38,0.2513521349499209
sample_ii_calib,ML residual masked-denoising AE-6,39,0.21416183447548762
