run,method,family,n_target_rows,pedestal_mae_adc,pedestal_rmse_adc,pedestal_bias_adc,pedestal_q05_adc,pedestal_q95_adc,n_pair_rows,timing_sigma68_shift_ns,timing_full_rms_shift_ns,timing_tail_gt0p5_fraction,timing_tail_gt5_fraction,timing_shift_bias_ns,n_charge_rows,charge_bias_delta_adc,charge_abs_delta_adc
60,traditional_run_stratified,traditional,68116,171.30604689758925,530.6623915902854,-15.011994594655093,-660.4166666666667,427.07142857142776,14568,0.2433374409973938,3.0409769729715213,0.246499176276771,0.04001922020867655,0.19153782480238635,68116,-34.76312432013734,229.61668225631908
61,traditional_mean3,traditional,75860,277.81597679936726,753.1098645707523,-7.193472463271249e-16,-1144.333333333333,1015.333333333333,16980,0.08615715470500078,1.219900644339112,0.13604240282685512,0.0007656065959952886,0.01924772450049521,75860,-46.5205114684946,96.42415414359786
61,traditional_median3,traditional,75860,303.3986817822304,862.7668192920928,-46.5205114684946,-1437.0499999999997,906.0500000000029,16980,0.06735353382008585,1.5598077458451554,0.12014134275618374,0.001531213191990577,0.02305094559348846,75860,0.0,106.75549696809912
61,ridge,ml,75860,186.7436229385312,452.64540803706603,-15.798662150436515,-560.215674006841,441.09531249148677,16918,0.6132026185375865,3.6705672680786603,0.6233006265516019,0.00531977775150727,-0.6593523623096607,75860,-30.721849318058087,188.6034924905406
61,target_masked_residual_cnn,new_architecture,75860,47.022785033684386,205.62149269177996,9.397855011230046,-73.73893301110706,101.1542653312176,16803,0.449219701065773,3.0154923566029574,0.2883413676129263,0.011783610069630423,0.13195987514734317,75860,-55.91836647972467,207.99666330666972
61,one_dimensional_cnn,ml,75860,81.29440067292113,288.15729871329376,8.195777444154016,-166.8958891533635,149.23023973972334,16772,0.46492647407500665,2.2145847565798413,0.3313856427378965,0.012103505843071787,0.09806142205991217,75860,-54.71628891264861,202.11805347747023
61,gradient_boosted_trees,ml,75860,55.489063728030814,200.85171057933744,-1.9480664731179467,-164.16576860069478,127.66301562831522,16816,0.23942331752750906,2.687734690278026,0.20658896289248335,0.018315889628924834,-0.044612565862917036,75860,-44.57244499537664,196.09793662896507
61,mlp,ml,75860,94.77404520499411,306.1943060962006,-5.484575206462143,-255.74156932408596,221.09915455884607,16832,0.5015943856905454,2.6667519072344588,0.3205798479087453,0.02311074144486692,-0.11378811938220067,75860,-41.03593626203244,200.79493346794828
61,traditional_line3,traditional,75860,182.4587623818312,522.4421020268733,-41.95126360589056,-863.0166666666665,458.4357142857148,16813,0.19018481116966407,3.042475174697126,0.18235888895497532,0.023791114018913935,0.06927007233234488,75860,-4.569247862604057,207.8357594817521
61,traditional_run_stratified,traditional,75860,153.2186574893601,478.53895560974144,-13.244267322009247,-562.3499999999997,395.0071428571433,16736,0.23048723450161562,4.244211759356336,0.2283699808795411,0.04152724665391969,0.10307553496409205,75860,-33.276244146485354,211.6208325486799
