method,base_method,shuffle_mode,seed,scope,metric,value,macro_f1,train_rows,heldout_rows,stratum
,traditional residual PCA+hand,within_topology,7002,topology,balanced_accuracy,0.278595807984233,,,6121,single
,traditional residual PCA+hand,within_topology,7002,topology,balanced_accuracy,0.25891216252131455,,,2764,pair
,traditional residual PCA+hand,within_topology,7002,topology,balanced_accuracy,0.3028854575011479,,,1920,triple
,traditional residual PCA+hand,within_topology,7002,topology,balanced_accuracy,0.2521730088420264,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7003,overall,balanced_accuracy,0.3310379173347553,0.31219344736439797,82118.0,11998,
,traditional residual PCA+hand,within_topology,7003,heldout_run,balanced_accuracy,0.33615730206607625,,,2635,42
,traditional residual PCA+hand,within_topology,7003,heldout_run,balanced_accuracy,0.3305204927186634,,,2559,57
,traditional residual PCA+hand,within_topology,7003,heldout_run,balanced_accuracy,0.32257543699290203,,,4034,64
,traditional residual PCA+hand,within_topology,7003,heldout_run,balanced_accuracy,0.2946687880803028,,,2770,65
,traditional residual PCA+hand,within_topology,7003,topology,balanced_accuracy,0.28652195839291406,,,6121,single
,traditional residual PCA+hand,within_topology,7003,topology,balanced_accuracy,0.28109394785414576,,,2764,pair
,traditional residual PCA+hand,within_topology,7003,topology,balanced_accuracy,0.332525426559368,,,1920,triple
,traditional residual PCA+hand,within_topology,7003,topology,balanced_accuracy,0.24389757099577045,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7004,overall,balanced_accuracy,0.33631615147293387,0.3140891485142513,82118.0,11998,
,traditional residual PCA+hand,within_topology,7004,heldout_run,balanced_accuracy,0.34450381819008385,,,2635,42
,traditional residual PCA+hand,within_topology,7004,heldout_run,balanced_accuracy,0.3348323729116412,,,2559,57
,traditional residual PCA+hand,within_topology,7004,heldout_run,balanced_accuracy,0.3258372780778922,,,4034,64
,traditional residual PCA+hand,within_topology,7004,heldout_run,balanced_accuracy,0.305079205453903,,,2770,65
,traditional residual PCA+hand,within_topology,7004,topology,balanced_accuracy,0.28542732709046004,,,6121,single
,traditional residual PCA+hand,within_topology,7004,topology,balanced_accuracy,0.27784675663428415,,,2764,pair
,traditional residual PCA+hand,within_topology,7004,topology,balanced_accuracy,0.3317215135748052,,,1920,triple
,traditional residual PCA+hand,within_topology,7004,topology,balanced_accuracy,0.24554029228045987,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7005,overall,balanced_accuracy,0.3330984716289356,0.3123976123629145,82118.0,11998,
,traditional residual PCA+hand,within_topology,7005,heldout_run,balanced_accuracy,0.34138674288598014,,,2635,42
,traditional residual PCA+hand,within_topology,7005,heldout_run,balanced_accuracy,0.3333392633788975,,,2559,57
,traditional residual PCA+hand,within_topology,7005,heldout_run,balanced_accuracy,0.32649728607377815,,,4034,64
,traditional residual PCA+hand,within_topology,7005,heldout_run,balanced_accuracy,0.29464538039243704,,,2770,65
,traditional residual PCA+hand,within_topology,7005,topology,balanced_accuracy,0.28147233058227766,,,6121,single
,traditional residual PCA+hand,within_topology,7005,topology,balanced_accuracy,0.2677280137641053,,,2764,pair
,traditional residual PCA+hand,within_topology,7005,topology,balanced_accuracy,0.3325653019210663,,,1920,triple
,traditional residual PCA+hand,within_topology,7005,topology,balanced_accuracy,0.25594658722459085,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7006,overall,balanced_accuracy,0.3384959561756911,0.31635602900213056,82118.0,11998,
,traditional residual PCA+hand,within_topology,7006,heldout_run,balanced_accuracy,0.3446441131082207,,,2635,42
,traditional residual PCA+hand,within_topology,7006,heldout_run,balanced_accuracy,0.32859099437148215,,,2559,57
,traditional residual PCA+hand,within_topology,7006,heldout_run,balanced_accuracy,0.33534694326628717,,,4034,64
,traditional residual PCA+hand,within_topology,7006,heldout_run,balanced_accuracy,0.30100169243844555,,,2770,65
,traditional residual PCA+hand,within_topology,7006,topology,balanced_accuracy,0.29107323230906806,,,6121,single
,traditional residual PCA+hand,within_topology,7006,topology,balanced_accuracy,0.27763370991083014,,,2764,pair
,traditional residual PCA+hand,within_topology,7006,topology,balanced_accuracy,0.3208017372953398,,,1920,triple
,traditional residual PCA+hand,within_topology,7006,topology,balanced_accuracy,0.24523778370650257,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7007,overall,balanced_accuracy,0.3393384992647048,0.3136164643977723,82118.0,11998,
,traditional residual PCA+hand,within_topology,7007,heldout_run,balanced_accuracy,0.34504038640386725,,,2635,42
,traditional residual PCA+hand,within_topology,7007,heldout_run,balanced_accuracy,0.33507302555168406,,,2559,57
,traditional residual PCA+hand,within_topology,7007,heldout_run,balanced_accuracy,0.33470670010107706,,,4034,64
,traditional residual PCA+hand,within_topology,7007,heldout_run,balanced_accuracy,0.3020452649368286,,,2770,65
,traditional residual PCA+hand,within_topology,7007,topology,balanced_accuracy,0.2771179872275562,,,6121,single
,traditional residual PCA+hand,within_topology,7007,topology,balanced_accuracy,0.264398235924136,,,2764,pair
,traditional residual PCA+hand,within_topology,7007,topology,balanced_accuracy,0.3151644240264558,,,1920,triple
,traditional residual PCA+hand,within_topology,7007,topology,balanced_accuracy,0.2802060462355434,,,1193,quad
